Java HotSpot(TM) 64-Bit Server VM (25.151-b12) for windows-amd64 JRE (1.8.0_151-b12), built on Sep  5 2017 19:33:46 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 8351508k(3064344k free), swap 10317588k(2861708k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:MaxHeapSize=536870912 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC -XX:+UseParallelOldGC 
2017-11-09T20:17:14.694+0500: 317.180: [Full GC (Ergonomics) [PSYoungGen: 131583K->131583K(153088K)] [ParOldGen: 349319K->349319K(349696K)] 480903K->480903K(502784K), [Metaspace: 2636K->2636K(1056768K)], 0.0611619 secs] [Times: user=0.23 sys=0.00, real=0.06 secs] 
2017-11-09T20:17:14.756+0500: 317.242: [Full GC (Ergonomics) [PSYoungGen: 131583K->131583K(153088K)] [ParOldGen: 349382K->349382K(349696K)] 480966K->480966K(502784K), [Metaspace: 2636K->2636K(1056768K)], 0.0624629 secs] [Times: user=0.20 sys=0.00, real=0.06 secs] 
2017-11-09T20:17:14.818+0500: 317.304: [Full GC (Ergonomics) [PSYoungGen: 131583K->131583K(153088K)] [ParOldGen: 349446K->349446K(349696K)] 481030K->481030K(502784K), [Metaspace: 2636K->2636K(1056768K)], 0.0605026 secs] [Times: user=0.24 sys=0.00, real=0.06 secs] 
2017-11-09T20:17:14.879+0500: 317.365: [Full GC (Ergonomics) [PSYoungGen: 131583K->131583K(153088K)] [ParOldGen: 349509K->349509K(349696K)] 481093K->481093K(502784K), [Metaspace: 2636K->2636K(1056768K)], 0.0605667 secs] [Times: user=0.23 sys=0.00, real=0.06 secs] 
2017-11-09T20:17:14.939+0500: 317.426: [Full GC (Ergonomics) [PSYoungGen: 131583K->131583K(153088K)] [ParOldGen: 349573K->349573K(349696K)] 481157K->481157K(502784K), [Metaspace: 2636K->2636K(1056768K)], 0.0608298 secs] [Times: user=0.24 sys=0.00, real=0.06 secs] 
2017-11-09T20:17:15.000+0500: 317.487: [Full GC (Ergonomics) [PSYoungGen: 131583K->131583K(153088K)] [ParOldGen: 349636K->349636K(349696K)] 481220K->481220K(502784K), [Metaspace: 2636K->2636K(1056768K)], 0.0608239 secs] [Times: user=0.19 sys=0.00, real=0.06 secs] 
2017-11-09T20:17:15.061+0500: 317.547: [Full GC (Ergonomics) [PSYoungGen: 131583K->131583K(153088K)] [ParOldGen: 349695K->349695K(349696K)] 481279K->481279K(502784K), [Metaspace: 2636K->2636K(1056768K)], 0.0608453 secs] [Times: user=0.16 sys=0.00, real=0.06 secs] 
2017-11-09T20:17:15.122+0500: 317.608: [Full GC (Allocation Failure) [PSYoungGen: 131583K->131583K(153088K)] [ParOldGen: 349695K->349695K(349696K)] 481279K->481279K(502784K), [Metaspace: 2636K->2636K(1056768K)], 0.0614782 secs] [Times: user=0.19 sys=0.02, real=0.06 secs] 
2017-11-09T20:17:15.184+0500: 317.670: [Full GC (Ergonomics) [PSYoungGen: 131584K->0K(153088K)] [ParOldGen: 349695K->281K(349696K)] 481279K->281K(502784K), [Metaspace: 2636K->2636K(1056768K)], 0.0036916 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
Heap
 PSYoungGen      total 153088K, used 2689K [0x00000000f5580000, 0x0000000100000000, 0x0000000100000000)
  eden space 131584K, 2% used [0x00000000f5580000,0x00000000f5820508,0x00000000fd600000)
  from space 21504K, 0% used [0x00000000feb00000,0x00000000feb00000,0x0000000100000000)
  to   space 21504K, 0% used [0x00000000fd600000,0x00000000fd600000,0x00000000feb00000)
 ParOldGen       total 349696K, used 281K [0x00000000e0000000, 0x00000000f5580000, 0x00000000f5580000)
  object space 349696K, 0% used [0x00000000e0000000,0x00000000e0046440,0x00000000f5580000)
 Metaspace       used 2668K, capacity 4486K, committed 4864K, reserved 1056768K
  class space    used 288K, capacity 386K, committed 512K, reserved 1048576K
